email,intent
Please send me the invoice for the previous quarter.,request
Please update my gym membership immediately.,request
"Greetings, please upgrade my smartwatch immediately.",request
"Hi, can you please update me on the status of my gym membership?",inquiry
Thank you for managing my bad connection quickly.,feedback
Great experience with the laptop today.,feedback
Kindly cancellation my credit card as soon as possible.,request
Your customer support is seamless.,feedback
Can you please update me on the status of my insurance policy?,inquiry
"I love the usability you added, very seamless.",feedback
"Still no response regarding my cancellation, this is dissatisfied.",complaint
Is there any coupon available for seniors?,inquiry
"The delay in banking is annoyed, very disappointed.",complaint
Can you please update me on the status of my gym membership?,inquiry
My delivery is broken and I need a fix.,complaint
Can you upgrade this for me?,request
I am writing to complain about the dissatisfied shipping.,complaint
I need to fix my credit card to enterprise plan.,request
This is the fifth time I'm contacting you about the bad connection.,complaint
Please upgrade my delivery immediately.,request
This is the multiple time I'm contacting you about the delay.,complaint
Can you correction this for me?,request
Is there any cashback available for premium clients?,inquiry
Your customer support is fantastic.,feedback
I would like to request a fix for my prescription.,request
Great experience with the gym membership today.,feedback
Please update my reservation immediately.,request
"To whom it may concern, can someone help me with privacy settings?",inquiry
Your customer support is outstanding.,feedback
Kindly refund my flight as soon as possible.,request
"Hi, keep up the help, I really enjoy using the prescription.",feedback
"Hey, please send me the receipt for yesterday.",request
Your customer support is amazing.,feedback
I want to change my payment method.,request
"Still no response regarding my delay, this is disappointed.",complaint
I have been invoiced twice for the same insurance policy.,complaint
"Keep up the hospitality, I really enjoy using the hotel room.",feedback
I am writing to complain about the unacceptable customer support.,complaint
I have been charged twice for the same gym membership.,complaint
"I love the speed you added, very seamless.",feedback
Can someone help me with warranty?,inquiry
Thank you for managing my technical glitch quickly.,feedback
I want to change my phone number.,request
Kindly refund my laptop as soon as possible.,request
Where can I find information on membership perks?,inquiry
I have been invoiced twice for the same laptop.,complaint
I want to change my account ID.,request
This is the fourth time I'm contacting you about the wrong item.,complaint
"Good morning, great reservation, really appreciate your good job!",feedback
My delivery was canceled and I need a correction.,complaint
"Still no response regarding my damaged goods, this is frustrated.",complaint
I need to fix my delivery to gold status.,request
I want to change my account ID.,request
Where can I find information on interest rates?,inquiry
"Greetings, please correction my prescription immediately.",request
"Still no response regarding my overcharge, this is poor.",complaint
"Greetings, I am poor with my flight, the bad connection is still stuck.",complaint
"Brilliant flight, really appreciate your good job!",feedback
I am looking to fix my current credit card.,request
"Hello, keep up the good job, I really enjoy using the insurance policy.",feedback
I need to upgrade my prescription to premium tier.,request
Thank you for fixing my delay quickly.,feedback
I would like to request a cancellation for my delivery.,request
Where can I find information on loyalty program?,inquiry
This is the fourth time I'm contacting you about the overcharge.,complaint
Please cancellation my flight immediately.,request
Your customer support is great.,feedback
Great experience with the delivery today.,feedback
Please refund my reservation immediately.,request
I am writing to complain about the not happy airline service.,complaint
Kindly correction my delivery as soon as possible.,request
I would like to request a refund for my delivery.,request
Thank you for fixing my delay quickly.,feedback
Your customer support is outstanding.,feedback
"Hello, the delivery I received is awful and not working.",complaint
Great experience with the insurance policy today.,feedback
"I am awful with my laptop, the wrong item is still not fixed.",complaint
My delivery is broken and I need a upgrade.,complaint
Your customer support is useful.,feedback
Great experience with the credit card today.,feedback
I am writing to complain about the dissatisfied medical staff.,complaint
"The delay in tech support is poor, very disappointed.",complaint
"To whom it may concern, the reservation I received is disappointed and not working.",complaint
"Hi there, excellent flight, really appreciate your help!",feedback
My reservation never arrived and I need a fix.,complaint
"I love the new interface you added, very excellent.",feedback
I am writing to complain about the unpleasant shipping.,complaint
Could you provide more details about the loyalty program?,inquiry
My credit card was canceled and I need a upgrade.,complaint
This is the fourth time I'm contacting you about the hidden fee.,complaint
I have been charged twice for the same smartwatch.,complaint
I would like to request a upgrade for my smartwatch.,request
I am writing to complain about the disappointed medical staff.,complaint
Can someone help me with terms of service?,inquiry
"The delay in airline service is terrible, very disappointed.",complaint
I am looking to update my current laptop.,request
Thank you for solving my wrong item quickly.,feedback
"I am dissatisfied with my prescription, the delay is still unresolved.",complaint
"Greetings, This is the fifth time I'm contacting you about the cancellation.",complaint
This is the fifth time I'm contacting you about the hidden fee.,complaint
"Your hotel room is very great, highly recommended.",feedback
"Dear Team, can you please update me on the status of my flight?",inquiry
Great experience with the insurance policy today.,feedback
Please fix my hotel room immediately.,request
Kindly update my reservation as soon as possible.,request
