subject,body,intent,meeting_booked,is_human,hostility,revisit_later,hard,lang
Re: quick question,"Sure, happy to chat. Does Thursday at 2pm ET work?",interested,True,True,0,False,False,en
Re: Northwind + inventory forecasting,This is timely actually. Send over pricing and I'll loop in our CFO.,interested,False,True,0,False,False,en
Re: 12 open AE roles,Interesting. What does implementation look like for a team our size?,interested,False,True,0,False,False,en
Re: quick question,yes,interested,False,True,0,False,True,en
Re: saw your Series B,"Go ahead and send a calendar invite for next week, mornings are better for me.",interested,True,True,0,False,False,en
Re: idea for Q4,"I'd like to understand the pricing model before we go further, but broadly yes this is relevant.",interested,False,True,0,False,False,en
Re: intro,Can you share a deck? If it looks right I'll set something up with my team.,interested,False,True,0,False,False,en
Re: forecasting accuracy,We're actively evaluating vendors in this space right now. Good timing.,interested,False,True,0,False,False,en
Re: quick question,"Sounds good, let's talk. I'm in London so afternoons your time.",interested,False,True,0,False,False,en
Re: hi from Vendor,Sure -- but I should say up front our budget for this is very small.,interested,False,True,0,False,True,en
Re: 15 minutes?,ok,interested,False,True,0,False,True,en
Re: pipeline coverage,Book it. https://calendly.com/d-whitfield/30min,interested,True,True,0,False,False,en
Re: quick question,Yeah I'll bite. What makes you different from the four other vendors who emailed me this week?,interested,False,True,1,False,True,en
Re: RevOps at Acme,Let me know what times you have open Tuesday or Wednesday.,interested,True,True,0,False,False,en
Re: following up,Yes please. We tried to build this internally last year and it went badly.,interested,False,True,0,False,False,en
Re: quick question,"Thanks for reaching out, but we just signed with a competitor last month.",not_interested,False,True,0,False,False,en
Re: intro,"Not a fit for us, we're a services business and don't run outbound.",not_interested,False,True,0,False,False,en
Re: forecasting,No thanks.,not_interested,False,True,0,False,False,en
Re: quick question,We're in a hiring freeze and everything non-essential is frozen with it. Try us in Q3.,not_interested,False,True,0,True,True,en
Re: hi,"Already have a solution for this, and we're happy with it.",not_interested,False,True,0,False,False,en
Re: 15 minutes?,I'm not the right person and I don't think anyone here is. Good luck.,not_interested,False,True,0,False,True,en
Re: Acme + Vendor,Budget's gone for the year. Circle back in January if you want.,not_interested,False,True,0,True,True,en
Re: quick question,We evaluated you two years ago and passed. Nothing's changed on our side.,not_interested,False,True,0,False,False,en
Re: revenue ops,pass,not_interested,False,True,0,False,False,en
Re: intro,Appreciate the note but this isn't a priority for us right now.,not_interested,False,True,0,False,False,en
Re: quick question,We're too small for this. Maybe in a couple of years.,not_interested,False,True,0,True,True,en
Re: demo?,"Thanks, but we build everything in house.",not_interested,False,True,0,False,False,en
Re: Q4 planning,Not now. I'll reach out if that changes.,not_interested,False,True,0,True,False,en
Re: hello,This is not something we would ever buy.,not_interested,False,True,0,False,False,en
Re: quick question,We're being acquired so nothing is getting bought here for at least six months.,not_interested,False,True,0,True,True,en
Automatic reply: quick question,I am out of the office until 29 September with limited access to email. For urgent matters please contact Priya Raman (priya@acme.com).,ooo,False,False,0,False,True,en
Out of Office: intro,"On annual leave, back Monday. I will reply then.",ooo,False,False,0,False,False,en
Automatic reply: forecasting,Thank you for your message. I am currently on parental leave until March 2027. Please contact the RevOps team at revops@acme.com.,ooo,False,False,0,False,True,en
